agency_cd,site_no,Date,X_00060_00003,X_00060_00003_cd
USGS,02089500,1930-08-08,576,A
USGS,02089500,1930-08-09,604,A
USGS,02089500,1930-08-10,576,A
USGS,02089500,1930-08-11,548,A
USGS,02089500,1930-08-12,548,A
USGS,02089500,1930-08-13,520,A
USGS,02089500,1930-08-14,492,A
USGS,02089500,1930-08-15,492,A
USGS,02089500,1930-08-16,492,A
USGS,02089500,1930-08-17,466,A
USGS,02089500,1930-08-18,520,A
USGS,02089500,1930-08-19,726,A
USGS,02089500,1930-08-20,664,A
USGS,02089500,1930-08-21,664,A
USGS,02089500,1930-08-22,758,A
USGS,02089500,1930-08-23,758,A
USGS,02089500,1930-08-24,634,A
USGS,02089500,1930-08-25,664,A
USGS,02089500,1930-08-26,548,A
USGS,02089500,1930-08-27,492,A
USGS,02089500,1930-08-28,440,A
USGS,02089500,1930-08-29,440,A
USGS,02089500,1930-08-30,466,A
USGS,02089500,1930-08-31,440,A
USGS,02089500,1930-09-01,414,A
USGS,02089500,1930-09-02,414,A
USGS,02089500,1930-09-03,414,A
USGS,02089500,1930-09-04,492,A
USGS,02089500,1930-09-05,466,A
USGS,02089500,1930-09-06,440,A
USGS,02089500,1930-09-07,414,A
USGS,02089500,1930-09-08,362,A
USGS,02089500,1930-09-09,440,A
USGS,02089500,1930-09-10,694,A
USGS,02089500,1930-09-11,892,A
USGS,02089500,1930-09-12,1180,A
USGS,02089500,1930-09-13,892,A
USGS,02089500,1930-09-14,664,A
USGS,02089500,1930-09-15,694,A
USGS,02089500,1930-09-16,634,A
USGS,02089500,1930-09-17,634,A
USGS,02089500,1930-09-18,758,A
USGS,02089500,1930-09-19,726,A
USGS,02089500,1930-09-20,664,A
USGS,02089500,1930-09-21,576,A
USGS,02089500,1930-09-22,520,A
USGS,02089500,1930-09-23,520,A
USGS,02089500,1930-09-24,466,A
USGS,02089500,1930-09-25,466,A
USGS,02089500,1930-09-26,466,A
USGS,02089500,1930-09-27,492,A
USGS,02089500,1930-09-28,440,A
USGS,02089500,1930-09-29,414,A
USGS,02089500,1930-09-30,414,A
USGS,02089500,1930-10-01,388,A
USGS,02089500,1930-10-02,362,A
USGS,02089500,1930-10-03,466,A
USGS,02089500,1930-10-04,388,A
USGS,02089500,1930-10-05,440,A
USGS,02089500,1930-10-06,388,A
USGS,02089500,1930-10-07,362,A
USGS,02089500,1930-10-08,338,A
USGS,02089500,1930-10-09,302,A
USGS,02089500,1930-10-10,290,A
USGS,02089500,1930-10-11,338,A
USGS,02089500,1930-10-12,314,A
USGS,02089500,1930-10-13,290,A
USGS,02089500,1930-10-14,314,A
USGS,02089500,1930-10-15,314,A
USGS,02089500,1930-10-16,314,A
USGS,02089500,1930-10-17,314,A
USGS,02089500,1930-10-18,440,A
USGS,02089500,1930-10-19,604,A
USGS,02089500,1930-10-20,548,A
USGS,02089500,1930-10-21,492,A
USGS,02089500,1930-10-22,440,A
USGS,02089500,1930-10-23,388,A
USGS,02089500,1930-10-24,362,A
USGS,02089500,1930-10-25,338,A
USGS,02089500,1930-10-26,338,A
USGS,02089500,1930-10-27,338,A
USGS,02089500,1930-10-28,362,A
USGS,02089500,1930-10-29,388,A
USGS,02089500,1930-10-30,440,A
USGS,02089500,1930-10-31,466,A
USGS,02089500,1930-11-01,440,A
USGS,02089500,1930-11-02,492,A
USGS,02089500,1930-11-03,548,A
USGS,02089500,1930-11-04,576,A
USGS,02089500,1930-11-05,604,A
USGS,02089500,1930-11-06,548,A
USGS,02089500,1930-11-07,520,A
USGS,02089500,1930-11-08,824,A
USGS,02089500,1930-11-09,892,A
USGS,02089500,1930-11-10,790,A
USGS,02089500,1930-11-11,726,A
USGS,02089500,1930-11-12,634,A
USGS,02089500,1930-11-13,604,A
USGS,02089500,1930-11-14,634,A
USGS,02089500,1930-11-15,634,A
USGS,02089500,1930-11-16,604,A
USGS,02089500,1930-11-17,604,A
USGS,02089500,1930-11-18,604,A
USGS,02089500,1930-11-19,576,A
USGS,02089500,1930-11-20,576,A
USGS,02089500,1930-11-21,576,A
USGS,02089500,1930-11-22,604,A
USGS,02089500,1930-11-23,576,A
